L20,income protection
pMEL,score_mel
pCNS,score_cns
L4,store
L11,Epiqure
L5,health insurance
L10,Hotel
pCHINA,score_china
L6,Q money
pCANADA,score_canada
L1,credit card
L18,life insurance
pASIA,score_asia
pINT,score_int
pINDO,score_indo
L21,wellness promotion
pQLD,score_qld
pCHILE,score_chile
pHTI,score_hti
L12,Car
pBNE,score_bne
L20,income protection
pUK,score_uk
pSYD,score_syd
pNSW,score_nsw
L16,Club
pNZ,score_nz
pOOL,score_ool
L8,Q cash activation
pNEW_CAL,score_new_cal
pJAPAN,score_japan
pNORTHAMERICA,score_NORTHAMERICA
L17,Golf
pDRW,score_drw
pADL,score_adl
pCBR,score_cbr
pHKG,score_hkg
pHBA,score_hba
L13,Vodafone
L19,travel insurance
pPER,score_per
pPNG,score_png
pNET,score_net
pSIN,score_sin
pUSA,score_usa
L9,Q cash load FX
pPHILI,score_phili
pRSA,score_rsa
pOCEANIA,score_oceania
pAUS,score_aus
L7,QBR
pTHAI,score_thai
